DIAGNOSIS CODE,LONG DESCRIPTION,SHORT DESCRIPTION
013_9_2,"Unspecified tuberculosis of central nervous system, bacteriological or histological examination unknown (at present)",Cns TB NOS-exam unkn
013_9_3,"Unspecified tuberculosis of central nervous system, tubercle bacilli found (in sputum) by microscopy",Cns TB NOS-micro dx
013_9_4,"Unspecified tuberculosis of central nervous system, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture",Cns TB NOS-cult dx
013_9_5,"Unspecified tuberculosis of central nervous system, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically",Cns TB NOS-histo dx
013_9_6,"Unspecified tuberculosis of central nervous system, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]",Cns TB NOS-oth test
014_0_0,"Tuberculous peritonitis, unspecified",TB peritonitis-unspec
014_0_1,"Tuberculous peritonitis, bacteriological or histological examination not done",TB peritonitis-no exam
014_0_2,"Tuberculous peritonitis, bacteriological or histological examination unknown (at present)",TB peritonitis-exam unkn
014_0_3,"Tuberculous peritonitis, tubercle bacilli found (in sputum) by microscopy",TB peritonitis-micro dx
014_0_4,"Tuberculous peritonitis, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture",TB peritonitis-cult dx
014_0_5,"Tuberculous peritonitis, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically",TB peritonitis-histo dx
014_0_6,"Tuberculous peritonitis, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]",TB peritonitis-oth test
014_8_0,"Other tuberculosis of intestines, peritoneum, and mesenteric glands, unspecified",Intestinal TB NEC-unspec
014_8_1,"Other tuberculosis of intestines, peritoneum, and mesenteric glands, bacteriological or histological examination not done",Intestin TB NEC-no exam
014_8_2,"Other tuberculosis of intestines, peritoneum, and mesenteric glands, bacteriological or histological examination unknown (at present)",Intest TB NEC-exam unkn
014_8_3,"Other tuberculosis of intestines, peritoneum, and mesenteric glands, tubercle bacilli found (in sputum) by microscopy",Intestin TB NEC-micro dx
014_8_4,"Other tuberculosis of intestines, peritoneum, and mesenteric glands, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture",Intestin TB NEC-cult dx
014_8_5,"Other tuberculosis of intestines, peritoneum, and mesenteric glands, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically",Intestin TB NEC-histo dx
014_8_6,"Other tuberculosis of intestines, peritoneum, and mesenteric glands, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]",Intestin TB NEC-oth test
015_0_0,"Tuberculosis of vertebral column, unspecified",TB of vertebra-unspec
015_0_1,"Tuberculosis of vertebral column, bacteriological or histological examination not done",TB of vertebra-no exam
015_0_2,"Tuberculosis of vertebral column, bacteriological or histological examination unknown (at present)",TB of vertebra-exam unkn
015_0_3,"Tuberculosis of vertebral column, tubercle bacilli found (in sputum) by microscopy",TB of vertebra-micro dx
015_0_4,"Tuberculosis of vertebral column, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture",TB of vertebra-cult dx
015_0_5,"Tuberculosis of vertebral column, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically",TB of vertebra-histo dx
015_0_6,"Tuberculosis of vertebral column, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]",TB of vertebra-oth test
015_1_0,"Tuberculosis of hip, unspecified",TB of hip-unspec
015_1_1,"Tuberculosis of hip, bacteriological or histological examination not done",TB of hip-no exam
015_1_2,"Tuberculosis of hip, bacteriological or histological examination unknown (at present)",TB of hip-exam unkn
015_1_3,"Tuberculosis of hip, tubercle bacilli found (in sputum) by microscopy",TB of hip-micro dx
015_1_4,"Tuberculosis of hip, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture",TB of hip-cult dx
015_1_5,"Tuberculosis of hip, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically",TB of hip-histo dx
015_1_6,"Tuberculosis of hip, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]",TB of hip-oth test
015_2_0,"Tuberculosis of knee, unspecified",TB of knee-unspec
015_2_1,"Tuberculosis of knee, bacteriological or histological examination not done",TB of knee-no exam
015_2_2,"Tuberculosis of knee, bacteriological or histological examination unknown (at present)",TB of knee-exam unkn
015_2_3,"Tuberculosis of knee, tubercle bacilli found (in sputum) by microscopy",TB of knee-micro dx
015_2_4,"Tuberculosis of knee, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture",TB of knee-cult dx
015_2_5,"Tuberculosis of knee, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically",TB of knee-histo dx
015_2_6,"Tuberculosis of knee, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]",TB of knee-oth test
015_5_0,"Tuberculosis of limb bones, unspecified",TB of limb bones-unspec
015_5_1,"Tuberculosis of limb bones, bacteriological or histological examination not done",TB limb bones-no exam
015_5_2,"Tuberculosis of limb bones, bacteriological or histological examination unknown (at present)",TB limb bones-exam unkn
015_5_3,"Tuberculosis of limb bones, tubercle bacilli found (in sputum) by microscopy",TB limb bones-micro dx
015_5_4,"Tuberculosis of limb bones, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture",TB limb bones-cult dx
015_5_5,"Tuberculosis of limb bones, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically",TB limb bones-histo dx
015_5_6,"Tuberculosis of limb bones, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]",TB limb bones-oth test
015_6_0,"Tuberculosis of mastoid, unspecified",TB of mastoid-unspec
015_6_1,"Tuberculosis of mastoid, bacteriological or histological examination not done",TB of mastoid-no exam
015_6_2,"Tuberculosis of mastoid, bacteriological or histological examination unknown (at present)",TB of mastoid-exam unkn
015_6_3,"Tuberculosis of mastoid, tubercle bacilli found (in sputum) by microscopy",TB of mastoid-micro dx
015_6_4,"Tuberculosis of mastoid, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture",TB of mastoid-cult dx
015_6_5,"Tuberculosis of mastoid, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically",TB of mastoid-histo dx
015_6_6,"Tuberculosis of mastoid, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]",TB of mastoid-oth test
015_7_0,"Tuberculosis of other specified bone, unspecified",TB of bone NEC-unspec
015_7_1,"Tuberculosis of other specified bone, bacteriological or histological examination not done",TB of bone NEC-no exam
015_7_2,"Tuberculosis of other specified bone, bacteriological or histological examination unknown (at present)",TB of bone NEC-exam unkn
015_7_3,"Tuberculosis of other specified bone, tubercle bacilli found (in sputum) by microscopy",TB of bone NEC-micro dx
015_7_4,"Tuberculosis of other specified bone, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture",TB of bone NEC-cult dx
015_7_5,"Tuberculosis of other specified bone, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically",TB of bone NEC-histo dx
015_7_6,"Tuberculosis of other specified bone, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]",TB of bone NEC-oth test
015_8_0,"Tuberculosis of other specified joint, unspecified",TB of joint NEC-unspec
015_8_1,"Tuberculosis of other specified joint, bacteriological or histological examination not done",TB of joint NEC-no exam
015_8_2,"Tuberculosis of other specified joint, bacteriological or histological examination unknown (at present)",TB joint NEC-exam unkn
015_8_3,"Tuberculosis of other specified joint, tubercle bacilli found (in sputum) by microscopy",TB of joint NEC-micro dx
015_8_4,"Tuberculosis of other specified joint, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture",TB of joint NEC-cult dx
015_8_5,"Tuberculosis of other specified joint, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically",TB of joint NEC-histo dx
015_8_6,"Tuberculosis of other specified joint, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]",TB of joint NEC-oth test
015_9_0,"Tuberculosis of unspecified bones and joints, unspecified",TB bone/joint NOS-unspec
015_9_1,"Tuberculosis of unspecified bones and joints, bacteriological or histological examination not done",TB bone/jt NOS-no exam
015_9_2,"Tuberculosis of unspecified bones and joints, bacteriological or histological examination unknown (at present)",TB bone/jt NOS-exam unkn
015_9_3,"Tuberculosis of unspecified bones and joints, tubercle bacilli found (in sputum) by microscopy",TB bone/jt NOS-micro dx
015_9_4,"Tuberculosis of unspecified bones and joints, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture",TB bone/jt NOS-cult dx
015_9_5,"Tuberculosis of unspecified bones and joints, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically",TB bone/jt NOS-histo dx
015_9_6,"Tuberculosis of unspecified bones and joints, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]",TB bone/jt NOS-oth test
016_0_0,"Tuberculosis of kidney, unspecified",TB of kidney-unspec
016_0_1,"Tuberculosis of kidney, bacteriological or histological examination not done",TB of kidney-no exam
016_0_2,"Tuberculosis of kidney, bacteriological or histological examination unknown (at present)",TB of kidney-exam unkn
016_0_3,"Tuberculosis of kidney, tubercle bacilli found (in sputum) by microscopy",TB of kidney-micro dx
016_0_4,"Tuberculosis of kidney, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture",TB of kidney-cult dx
016_0_5,"Tuberculosis of kidney, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically",TB of kidney-histo dx
016_0_6,"Tuberculosis of kidney, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]",TB of kidney-oth test
016_1_0,"Tuberculosis of bladder, unspecified",TB of bladder-unspec
016_1_1,"Tuberculosis of bladder, bacteriological or histological examination not done",TB of bladder-no exam
016_1_2,"Tuberculosis of bladder, bacteriological or histological examination unknown (at present)",TB of bladder-exam unkn
016_1_3,"Tuberculosis of bladder, tubercle bacilli found (in sputum) by microscopy",TB of bladder-micro dx
016_1_4,"Tuberculosis of bladder, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture",TB of bladder-cult dx
016_1_5,"Tuberculosis of bladder, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically",TB of bladder-histo dx
016_1_6,"Tuberculosis of bladder, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]",TB of bladder-oth test
016_2_0,"Tuberculosis of ureter, unspecified",TB of ureter-unspec
016_2_1,"Tuberculosis of ureter, bacteriological or histological examination not done",TB of ureter-no exam
016_2_2,"Tuberculosis of ureter, bacteriological or histological examination unknown (at present)",TB of ureter-exam unkn
016_2_3,"Tuberculosis of ureter, tubercle bacilli found (in sputum) by microscopy",TB of ureter-micro dx
016_2_4,"Tuberculosis of ureter, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture",TB of ureter-cult dx
